City,Country,Max Temp,Humidity,Current Description,Lat,Lng,Hotel Name
New Norfolk,AU,65.91,46,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
Biggar,GB,43.9,92,broken clouds,55.6167,-3.5167,The Mill Bed and Breakfast
Burgos,ES,34.21,93,overcast clouds,42.3394,-3.7079,Hotel Corona de Castilla (Sercotel)
Namatanai,PG,82.63,73,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
Alta Floresta,BR,69.17,97,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
Ojinaga,MX,45.55,65,clear sky,29.5667,-104.4167,Suites Las Palmas
Ushuaia,AR,56.86,38,light intensity drizzle,-54.8,-68.3,Albatross Hotel
Busselton,AU,63.7,56,overcast clouds,-33.65,115.3333,Observatory Guest House
Jaque,PA,76.1,91,overcast clouds,7.5175,-78.1703,Aventuras Jaque S.A
Vila Velha,BR,68.95,80,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
Hays,US,46.96,87,overcast clouds,30.0502,-98.0336,CHAPEL HOME
Mahebourg,MU,80.89,57,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
Maraba,BR,75.38,100,clear sky,-5.3686,-49.1178,Hotel Del Principe
Vao,NC,72.45,70,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
Chaohu,CN,63.36,70,broken clouds,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
Olinda,BR,78.53,69,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
Kruisfontein,ZA,65.88,50,clear sky,-34.0033,24.7314,Oyster Bay House Rental
Yanam,IN,84.22,39,scattered clouds,16.7333,82.2167,The Regency Hotel
Sao Desiderio,BR,68.83,94,overcast clouds,-12.3633,-44.9733,POUSADA BOM SOSSEGO
Mataura,NZ,58.48,84,broken clouds,-46.1927,168.8643,Ellie's Villa
Cape Town,ZA,66.11,68,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
Jian,CN,65.19,81,overcast clouds,27.1172,114.9793,Luling International Hotel
Kapaa,US,77.09,84,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
Mar Del Plata,AR,63.95,91,mist,-38.0023,-57.5575,Gran Hotel Mar del Plata
Te Anau,NZ,64.81,73,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
Sorong,ID,83.7,78,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
Hithadhoo,MV,81.59,74,scattered clouds,-0.6,73.0833,Scoop Guest House
Butaritari,KI,80.98,73,few clouds,3.0707,172.7902,Isles Sunset Lodge
Vaini,TO,78.96,89,few clouds,-21.2,-175.2,Keleti Beach Resort
Tuatapere,NZ,64.15,68,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
Esna,EG,60.82,32,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
Seoul,KR,67.57,34,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
Rikitea,PF,71.98,62,overcast clouds,-23.1203,-134.9692,People ThankYou
Chaihe,CN,33.3,78,overcast clouds,44.7667,129.7,Holiday Inn Suifenhe
Abu Dhabi,AE,84.22,65,clear sky,24.4667,54.3667,Beach Rotana
Kaitangata,NZ,52.36,97,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
Sinnamary,GF,78.76,82,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
Saldanha,ZA,60.85,60,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
Atuona,PF,77.18,76,scattered clouds,-9.8,-139.0333,Villa Enata
San Juan,AR,73.99,57,clear sky,-31.5375,-68.5364,Hotel Provincial
Kodiak,US,42.31,93,light rain,57.79,-152.4072,Best Western Kodiak Inn
Gat,IL,71.4,100,clear sky,31.61,34.7642,OlusHome
Poso,ID,80.85,81,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
Oistins,BB,80.69,78,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
Bredasdorp,ZA,64.83,52,light rain,-34.5322,20.0403,Bredasdorp Country Manor
Buala,SB,82.67,73,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
