City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Zhezkazgan,KZ,47.8043,67.7144,26.58,74,0,8.95,clear sky
New Norfolk,AU,-42.7826,147.0587,65.91,46,100,5.99,light rain
Parabel,RU,58.6978,81.4825,4.42,89,100,10.78,overcast clouds
Biggar,GB,55.6167,-3.5167,43.9,92,66,1.3,broken clouds
Narsaq,GL,60.9167,-46.05,19.62,85,100,3.02,overcast clouds
Burgos,ES,42.3394,-3.7079,34.21,93,100,3.44,overcast clouds
Namatanai,PG,-3.6667,152.4333,82.63,73,99,8.1,overcast clouds
Rozsypne,UA,48.1497,38.5762,40.05,97,100,17.72,overcast clouds
Alta Floresta,BR,-9.8756,-56.0861,69.17,97,100,1.83,overcast clouds
Ojinaga,MX,29.5667,-104.4167,45.55,65,0,13.8,clear sky
Albany,US,42.6001,-73.9662,30.67,66,6,7.67,clear sky
Ushuaia,AR,-54.8,-68.3,56.86,38,75,14.97,light intensity drizzle
Jamestown,US,42.097,-79.2353,26.19,73,0,16.11,clear sky
Busselton,AU,-33.65,115.3333,63.7,56,92,15.43,overcast clouds
Jaque,PA,7.5175,-78.1703,76.1,91,100,3.8,overcast clouds
Vila Velha,BR,-20.3297,-40.2925,68.95,80,0,6.91,clear sky
Hays,US,30.0502,-98.0336,46.96,87,100,3.0,overcast clouds
Mahebourg,MU,-20.4081,57.7,80.89,57,40,11.5,scattered clouds
Maraba,BR,-5.3686,-49.1178,75.38,100,0,0.0,clear sky
Vao,NC,-22.6667,167.4833,72.45,70,40,10.16,scattered clouds
Chaohu,CN,31.6,117.8667,63.36,70,74,7.78,broken clouds
Olinda,BR,-8.0089,-34.8553,78.53,69,40,3.44,scattered clouds
Kruisfontein,ZA,-34.0033,24.7314,65.88,50,9,21.68,clear sky
Leningradskiy,RU,69.3833,178.4167,-17.09,97,49,4.88,scattered clouds
Yanam,IN,16.7333,82.2167,84.22,39,37,8.55,scattered clouds
Sao Desiderio,BR,-12.3633,-44.9733,68.83,94,100,2.08,overcast clouds
Mataura,NZ,-46.1927,168.8643,58.48,84,79,8.28,broken clouds
Merrill,US,45.1805,-89.6835,15.57,86,100,9.22,overcast clouds
Cape Town,ZA,-33.9258,18.4232,66.11,68,40,5.01,scattered clouds
Zemetchino,RU,53.4973,42.6163,20.8,95,73,2.66,broken clouds
Jian,CN,27.1172,114.9793,65.19,81,99,4.65,overcast clouds
Vostok,RU,46.4856,135.8833,26.35,94,97,3.29,overcast clouds
Andenes,NO,69.3143,16.1194,31.98,74,5,9.22,clear sky
Kapaa,US,22.0752,-159.319,77.09,84,100,19.57,overcast clouds
Mar Del Plata,AR,-38.0023,-57.5575,63.95,91,100,15.99,mist
Te Anau,NZ,-45.4167,167.7167,64.81,73,86,1.59,overcast clouds
Sorong,ID,-0.8833,131.25,83.7,78,100,11.88,overcast clouds
Hithadhoo,MV,-0.6,73.0833,81.59,74,33,11.88,scattered clouds
Butaritari,KI,3.0707,172.7902,80.98,73,11,17.6,few clouds
Thompson,CA,55.7435,-97.8558,-7.44,71,0,12.66,clear sky
Vaini,TO,-21.2,-175.2,78.96,89,20,3.44,few clouds
Tuatapere,NZ,-46.1333,167.6833,64.15,68,50,9.35,scattered clouds
Esna,EG,25.2934,32.554,60.82,32,0,8.08,clear sky
Seoul,KR,37.5683,126.9778,67.57,34,0,5.75,clear sky
Rikitea,PF,-23.1203,-134.9692,71.98,62,100,11.9,overcast clouds
Chaihe,CN,44.7667,129.7,33.3,78,100,2.82,overcast clouds
Cherskiy,RU,68.75,161.3,-27.45,100,97,6.78,overcast clouds
Abu Dhabi,AE,24.4667,54.3667,84.22,65,0,2.3,clear sky
Kaitangata,NZ,-46.2817,169.8464,52.36,97,100,9.66,overcast clouds
Sinnamary,GF,5.3833,-52.95,78.76,82,79,10.71,broken clouds
Barrow,US,71.2906,-156.7887,28.42,80,100,24.16,overcast clouds
Saldanha,ZA,-33.0117,17.9442,60.85,60,26,13.53,scattered clouds
Atuona,PF,-9.8,-139.0333,77.18,76,32,10.22,scattered clouds
Tigil,RU,57.8,158.6667,8.65,91,51,7.65,broken clouds
Tilichiki,RU,60.4667,166.1,-0.62,97,31,5.95,scattered clouds
San Juan,AR,-31.5375,-68.5364,73.99,57,5,12.17,clear sky
Gao,ML,16.6362,1.637,70.43,17,100,10.98,overcast clouds
Kodiak,US,57.79,-152.4072,42.31,93,100,13.8,light rain
Gat,IL,31.61,34.7642,71.4,100,1,1.97,clear sky
Poso,ID,-1.3959,120.7524,80.85,81,100,3.78,overcast clouds
Oistins,BB,13.0667,-59.5333,80.69,78,40,17.27,scattered clouds
Bredasdorp,ZA,-34.5322,20.0403,64.83,52,57,16.82,light rain
Buala,SB,-8.145,159.5921,82.67,73,93,4.03,overcast clouds
Ahipara,NZ,-35.1667,173.1667,62.13,89,11,11.39,few clouds
Manzil Salim,TN,35.8567,8.4765,59.16,62,87,3.53,overcast clouds
Tual,ID,-5.6667,132.75,85.32,68,100,3.02,overcast clouds
Placido De Castro,BR,-10.3353,-67.1856,74.07,89,100,2.77,overcast clouds
Pisco,PE,-13.7,-76.2167,62.65,82,20,4.61,few clouds
Monte Patria,CL,-30.6919,-70.9467,66.74,59,0,1.03,clear sky
Tasiilaq,GL,65.6145,-37.6368,37.56,97,100,24.16,light rain
Hermanus,ZA,-34.4187,19.2345,64.8,62,96,14.52,overcast clouds
Qaanaaq,GL,77.484,-69.3632,-8.93,66,19,7.61,few clouds
Punta Arenas,CL,-53.15,-70.9167,48.31,66,75,16.11,broken clouds
Cidreira,BR,-30.1811,-50.2056,67.8,82,97,20.54,overcast clouds
Tanda,IN,26.55,82.65,77.36,27,0,3.0,clear sky
Chokurdakh,RU,70.6333,147.9167,-11.49,97,100,12.8,overcast clouds
Bathsheba,BB,13.2167,-59.5167,81.21,78,40,17.27,scattered clouds
Dikson,RU,73.5069,80.5464,-10.07,97,100,13.53,overcast clouds
Zyryanka,RU,65.75,150.85,-11.65,94,100,7.47,overcast clouds
East London,ZA,-33.0153,27.9116,63.54,88,20,13.8,few clouds
Iki-Burul,RU,45.8208,44.6472,51.67,77,98,9.98,overcast clouds
Castro,BR,-24.7911,-50.0119,47.95,97,9,7.27,clear sky
Hami,CN,42.8,93.45,44.31,35,34,1.39,scattered clouds
Klaksvik,FO,62.2266,-6.589,49.12,87,100,37.89,overcast clouds
Ribeira Grande,PT,38.5167,-28.7,65.77,76,9,10.0,clear sky
Nanortalik,GL,60.1432,-45.2371,28.06,92,100,2.68,overcast clouds
Lata,PT,40.1629,-8.3327,56.8,93,91,1.43,overcast clouds
Manjo,CM,4.8428,9.8217,72.95,87,79,1.25,broken clouds
Champerico,GT,14.3,-91.9167,77.45,81,52,4.23,broken clouds
Torbay,CA,47.6666,-52.7314,37.58,80,20,19.57,few clouds
Phalia,PK,32.4297,73.5775,73.89,23,97,3.91,overcast clouds
Yellowknife,CA,62.456,-114.3525,23.56,68,100,9.22,overcast clouds
Chuy,UY,-33.6971,-53.4616,63.59,89,83,9.93,moderate rain
Yulara,AU,-25.2406,130.9889,88.48,14,1,18.77,clear sky
Shirochanka,RU,46.6497,38.3978,53.17,80,100,18.39,overcast clouds
Geraldton,AU,-28.7667,114.6,70.21,49,75,19.57,broken clouds
Berlevag,NO,70.8578,29.0864,37.4,64,100,20.71,overcast clouds
Sorland,NO,67.667,12.6934,42.66,57,5,6.26,clear sky
Nemuro,JP,43.3236,145.575,41.7,61,83,6.29,broken clouds
Sassandra,CI,4.95,-6.0833,75.61,86,8,1.19,moderate rain
Sencha,UA,50.2548,33.346,34.34,99,100,16.96,snow
Hilo,US,19.7297,-155.09,74.93,93,100,3.0,very heavy rain
Saskylakh,RU,71.9167,114.0833,-31.23,100,93,5.37,overcast clouds
Provideniya,RU,64.3833,-173.3,30.09,77,100,4.07,overcast clouds
Bethel,US,41.3712,-73.414,34.11,75,0,6.91,clear sky
Peniche,PT,39.3558,-9.3811,58.1,82,97,17.13,overcast clouds
Yar-Sale,RU,66.8333,70.8333,-1.48,90,100,21.27,overcast clouds
Sibolga,ID,1.7427,98.7792,77.97,89,100,5.12,light rain
Webuye,KE,0.6075,34.7697,72.5,55,99,7.0,overcast clouds
Nome,US,64.5011,-165.4064,32.07,93,100,0.0,overcast clouds
Rincon,US,32.296,-81.2354,51.85,87,0,0.0,clear sky
Sandwick,GB,60.0,-1.25,48.02,61,75,21.85,broken clouds
Tateyama,JP,34.9833,139.8667,61.29,62,48,16.75,scattered clouds
Lerwick,GB,60.1545,-1.1494,48.2,62,100,29.26,overcast clouds
Tutoia,BR,-2.7619,-42.2744,79.11,80,100,12.59,overcast clouds
Kloulklubed,PW,7.0419,134.2556,82.9,72,57,9.37,broken clouds
Severo-Kurilsk,RU,50.6789,156.125,32.56,77,68,15.75,broken clouds
Agadez,NE,19.75,10.25,64.83,17,85,5.28,overcast clouds
Constitucion,CL,-35.3333,-72.4167,54.37,89,19,13.94,few clouds
