City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-08-03 05:31:35,-46.1927,168.8643,44.47,87,51,4.41
1,Sao Filipe,CV,2022-08-03 05:31:35,14.8961,-24.4956,76.87,83,17,2.73
2,Hilo,US,2022-08-03 05:31:35,19.7297,-155.09,76.73,81,0,5.75
3,Flin Flon,CA,2022-08-03 05:31:36,54.7682,-101.865,52.36,86,99,9.93
4,Butaritari,KI,2022-08-03 05:31:36,3.0707,172.7902,81.21,79,44,13.38
5,Port Alfred,ZA,2022-08-03 05:31:37,-33.5906,26.891,66.2,55,16,5.46
6,Nenjiang,CN,2022-08-03 05:31:37,49.1833,125.2167,85.89,53,15,4.74
7,Tuktoyaktuk,CA,2022-08-03 05:31:38,69.4541,-133.0374,51.8,87,75,11.5
8,Vaini,TO,2022-08-03 05:31:38,-21.2,-175.2,77.16,94,75,8.05
9,Bredasdorp,ZA,2022-08-03 05:31:38,-34.5322,20.0403,48.72,89,13,3.87
10,Port Lincoln,AU,2022-08-03 05:30:46,-34.7333,135.8667,62.42,57,18,32.41
11,Albany,US,2022-08-03 05:30:02,42.6001,-73.9662,68.41,83,0,4.63
12,Necochea,AR,2022-08-03 05:30:06,-38.5473,-58.7368,49.5,94,94,5.91
13,Hovd,MN,2022-08-03 05:31:40,48.0056,91.6419,77.94,23,16,6.04
14,Ormond Beach,US,2022-08-03 05:31:40,29.2858,-81.0559,78.03,91,75,5.75
15,Iqaluit,CA,2022-08-03 05:29:51,63.7506,-68.5145,38.93,93,75,0.0
16,Qaanaaq,GL,2022-08-03 05:31:41,77.484,-69.3632,40.73,65,38,5.86
17,Atuona,PF,2022-08-03 05:31:41,-9.8,-139.0333,77.56,75,13,15.1
18,Ushuaia,AR,2022-08-03 05:29:03,-54.8,-68.3,37.06,93,75,2.3
19,Barrow,US,2022-08-03 05:31:42,71.2906,-156.7887,51.82,71,0,10.36
20,Hobart,AU,2022-08-03 05:31:33,-42.8794,147.3294,59.25,63,92,4.0
21,Vardo,NO,2022-08-03 05:31:43,70.3705,31.1107,51.78,100,100,17.27
22,Bluff,NZ,2022-08-03 05:31:43,-46.6,168.3333,44.8,72,56,25.5
23,Bac Lieu,VN,2022-08-03 05:31:43,9.285,105.7244,87.69,64,95,7.38
24,Puerto Ayora,EC,2022-08-03 05:31:44,-0.7393,-90.3518,69.55,87,30,5.01
25,Gladstone,AU,2022-08-03 05:31:44,-23.85,151.25,74.79,64,40,10.36
26,Ponta Do Sol,PT,2022-08-03 05:31:45,32.6667,-17.1,70.72,75,7,4.74
27,Namibe,AO,2022-08-03 05:31:45,-15.1961,12.1522,58.3,79,56,3.51
28,Odweyne,SO,2022-08-03 05:31:46,9.4092,45.064,76.71,45,16,24.4
29,Forbes,AU,2022-08-03 05:31:46,-33.3833,148.0167,70.92,67,14,13.78
30,Ca Mau,VN,2022-08-03 05:31:46,9.1769,105.15,88.77,61,96,7.14
31,Jamestown,US,2022-08-03 05:31:47,42.097,-79.2353,63.99,72,0,3.44
32,Katsuura,JP,2022-08-03 05:31:47,35.1333,140.3,87.64,71,95,14.54
33,Mayo,US,2022-08-03 05:31:48,38.8876,-76.5119,80.13,83,0,4.61
34,Sioux Lookout,CA,2022-08-03 05:31:48,50.1001,-91.917,62.67,94,100,5.75
35,Lorengau,PG,2022-08-03 05:31:48,-2.0226,147.2712,82.11,79,100,13.78
36,Bethel,US,2022-08-03 05:27:49,41.3712,-73.414,74.75,88,0,0.0
37,Roebourne,AU,2022-08-03 05:31:49,-20.7833,117.1333,78.93,33,0,13.85
38,Georgetown,MY,2022-08-03 05:27:43,5.4112,100.3354,80.89,78,20,4.61
39,Provideniya,RU,2022-08-03 05:31:50,64.3833,-173.3,46.51,100,0,11.18
